bedrooms,bathrooms,sqft_living,sqft_lot,sqft_living15,sqft_lot15,condition,grade,view,waterfront,price_log
4,2.25,1810,9240,1660,9240,3,7,0,0,12.501142362015882
3,2.5,1600,2788,1720,3605,4,7,0,0,12.409017571151187
4,2.5,1720,8638,1870,7455,3,8,0,0,12.206077645517674
2,2.25,1240,705,1240,750,3,7,0,0,12.772805901234461
3,2.0,1280,13356,1590,8071,3,7,0,0,12.354496960983985
4,3.5,2600,5100,2000,6720,3,8,0,0,13.490474083050811
2,1.0,1060,7200,1850,8291,4,6,0,0,12.611524420216115
3,2.0,2130,35169,2860,43560,4,8,0,0,13.68767832281738
3,1.0,1070,6164,1320,7920,3,7,0,0,12.07254696717504
3,2.25,998,844,998,1110,3,7,0,0,12.676079399771027
5,2.5,2510,8050,1840,8471,4,7,0,0,13.07107218827772
5,3.25,3970,8029,2520,8214,3,9,2,0,13.81049902116535
4,3.5,4080,14450,4080,12114,3,12,2,0,14.06627005452127
4,2.25,1860,7000,1990,8937,3,8,0,0,12.3879816172226
4,1.75,1400,8374,1420,8360,3,7,0,0,12.73670383776449
4,2.5,3290,6012,3210,6005,3,9,0,0,13.429849547739444
4,2.5,1954,5075,1934,5000,3,8,0,0,12.368387054114972
3,2.5,1800,5372,1650,6014,3,8,0,0,12.938442943086665
4,2.5,2030,8100,1770,8071,3,7,0,0,12.948012371209098
3,1.75,1330,36537,1650,35100,4,7,0,0,12.456835254920371
0,0.0,1470,979,1470,1399,3,8,2,0,12.847929163278053
3,2.0,2100,31550,1860,18452,3,8,0,0,12.896719202134523
3,2.5,1470,4675,1500,4385,3,7,0,0,12.736409677721657
4,1.75,1760,5356,1680,5184,4,7,0,0,13.279368835614243
2,1.0,1050,8220,1340,7651,4,6,0,0,12.644330802262578
4,2.75,2270,7375,1750,7760,4,7,0,0,13.118357364036902
4,2.5,2080,4080,1340,4080,5,7,0,0,12.793862088206213
3,1.5,1780,10196,1320,7875,4,7,0,0,12.487488878546145
4,2.75,3540,13515,3540,11538,3,10,0,0,13.617060838751888
4,2.5,2750,5767,2800,5376,3,9,0,0,12.947774248188859
4,1.0,1150,2560,1890,3000,3,7,0,0,13.091906231773164
5,1.5,1720,4000,2280,4000,3,7,0,0,13.434251602680698
3,2.5,1820,1855,1470,6900,3,8,0,0,12.676079399771027
5,2.25,2890,12478,2570,11880,3,9,0,0,13.301347705172173
3,2.5,2140,3821,2860,3841,3,8,0,0,12.948012371209098
3,1.0,1660,5100,1230,5100,3,7,0,0,13.190023895035274
3,1.75,1910,12596,1550,13310,3,7,0,0,12.936036208848487
3,1.75,1650,8073,1280,8073,3,7,0,0,12.367238660251337
4,2.5,1950,3000,1170,6000,3,7,0,0,12.608202196848836
3,2.25,1790,7500,1940,7192,3,7,0,0,13.02805489573287
2,1.0,1170,4080,1560,4586,4,7,0,0,13.272507757002963
5,4.0,3720,15200,4100,19036,3,10,0,0,13.774689605110144
4,1.75,1470,5350,1970,6138,3,7,0,0,13.049794835104816
3,1.0,1130,5758,1510,6000,3,7,0,0,13.091906231773164
3,2.25,2190,7149,3500,7149,4,8,1,0,13.199233673682526
3,1.75,1060,7875,1420,7680,4,7,0,0,12.264346270624157
4,4.0,4320,8709,4010,8321,3,11,0,0,13.864301674514206
3,2.25,1640,8400,1600,8120,3,8,0,0,12.411870628505058
3,1.75,1680,9769,1730,9686,3,8,0,0,12.487488878546145
3,1.5,1540,8110,1290,8110,4,7,0,0,12.693120812822663
4,2.25,2360,7650,2320,11060,3,8,0,0,13.12216535779974
3,1.75,1380,3225,1250,3750,4,7,0,0,13.197472705176983
4,2.5,1670,5116,1910,7210,3,8,0,0,13.217675375388819
5,2.25,3160,8065,2540,7917,3,8,0,0,13.537780136496803
